timestamp	idf_value	term	count	amount_tweets
1366048843	NaN	boston	NaN	513
1366048843	NaN	marathon	NaN	513
1366048843	NaN	explosion	NaN	513
1366048844	6.3561076606958915	boston	1	576
1366048844	NaN	marathon	NaN	576
1366048844	NaN	explosion	NaN	576
1366048845	NaN	boston	NaN	426
1366048845	NaN	marathon	NaN	426
1366048845	NaN	explosion	NaN	426
1366048846	NaN	boston	NaN	505
1366048846	NaN	marathon	NaN	505
1366048846	NaN	explosion	NaN	505
1366048847	NaN	boston	NaN	543
1366048847	6.297109319933935	marathon	1	543
1366048847	NaN	explosion	NaN	543
1366048848	NaN	boston	NaN	482
1366048848	NaN	marathon	NaN	482
1366048848	NaN	explosion	NaN	482
1366048849	6.1224928095143865	boston	1	456
1366048849	NaN	marathon	NaN	456
1366048849	NaN	explosion	NaN	456
1366048850	NaN	boston	NaN	552
1366048850	NaN	marathon	NaN	552
1366048850	NaN	explosion	NaN	552
1366048851	6.194405391104672	boston	1	490
1366048851	NaN	marathon	NaN	490
1366048851	NaN	explosion	NaN	490
1366048852	NaN	boston	NaN	471
1366048852	6.154858094016418	marathon	1	471
1366048852	NaN	explosion	NaN	471
1366048853	5.5626028611934215	boston	2	521
1366048853	NaN	marathon	NaN	521
1366048853	NaN	explosion	NaN	521
1366048854	NaN	boston	NaN	518
1366048854	6.249975242259483	marathon	1	518
1366048854	NaN	explosion	NaN	518
1366048855	NaN	boston	NaN	454
1366048855	NaN	marathon	NaN	454
1366048855	NaN	explosion	NaN	454
1366048856	NaN	boston	NaN	100
1366048856	NaN	marathon	NaN	100
1366048856	NaN	explosion	NaN	100
1366048857	NaN	boston	NaN	254
1366048857	NaN	marathon	NaN	254
1366048857	NaN	explosion	NaN	254
1366048858	NaN	boston	NaN	681
1366048858	NaN	marathon	NaN	681
1366048858	NaN	explosion	NaN	681
1366048859	6.651571873589727	boston	1	774
1366048859	NaN	marathon	NaN	774
1366048859	NaN	explosion	NaN	774
1366048860	NaN	boston	NaN	468
1366048860	NaN	marathon	NaN	468
1366048860	NaN	explosion	NaN	468
1366048861	NaN	boston	NaN	453
1366048861	NaN	marathon	NaN	453
1366048861	NaN	explosion	NaN	453
1366048862	NaN	boston	NaN	526
1366048862	NaN	marathon	NaN	526
1366048862	NaN	explosion	NaN	526
1366048863	6.161207321695077	boston	1	474
1366048863	NaN	marathon	NaN	474
1366048863	NaN	explosion	NaN	474
1366048864	NaN	boston	NaN	542
1366048864	NaN	marathon	NaN	542
1366048864	NaN	explosion	NaN	542
1366048865	NaN	boston	NaN	524
1366048865	NaN	marathon	NaN	524
1366048865	NaN	explosion	NaN	524
1366048866	NaN	boston	NaN	426
1366048866	NaN	marathon	NaN	426
1366048866	NaN	explosion	NaN	426
1366048867	5.678464666671911	boston	2	585
1366048867	NaN	marathon	NaN	585
1366048867	NaN	explosion	NaN	585
1366048868	NaN	boston	NaN	553
1366048868	NaN	marathon	NaN	553
1366048868	NaN	explosion	NaN	553
1366048869	NaN	boston	NaN	551
1366048869	NaN	marathon	NaN	551
1366048869	NaN	explosion	NaN	551
1366048870	6.259581464064923	boston	1	523
1366048870	6.259581464064923	marathon	1	523
1366048870	NaN	explosion	NaN	523
1366048871	NaN	boston	NaN	509
1366048871	NaN	marathon	NaN	509
1366048871	NaN	explosion	NaN	509
1366048872	NaN	boston	NaN	482
1366048872	NaN	marathon	NaN	482
1366048872	NaN	explosion	NaN	482
1366048873	4.859812404361672	boston	1	129
1366048873	NaN	marathon	NaN	129
1366048873	NaN	explosion	NaN	129
1366048873	NaN	boston	NaN	398
1366048873	NaN	marathon	NaN	398
1366048873	NaN	explosion	NaN	398
1366048875	NaN	boston	NaN	691
1366048875	NaN	marathon	NaN	691
1366048875	NaN	explosion	NaN	691
1366048876	NaN	boston	NaN	561
1366048876	NaN	marathon	NaN	561
1366048876	NaN	explosion	NaN	561
1366048877	6.338594078203183	boston	1	566
1366048877	6.338594078203183	marathon	1	566
1366048877	NaN	explosion	NaN	566
1366048878	NaN	boston	NaN	556
1366048878	NaN	marathon	NaN	556
1366048878	NaN	explosion	NaN	556
1366048879	NaN	boston	NaN	538
1366048879	NaN	marathon	NaN	538
1366048879	NaN	explosion	NaN	538
1366048880	6.07073772800249	boston	1	433
1366048880	NaN	marathon	NaN	433
1366048880	NaN	explosion	NaN	433
1366048881	6.371611847231857	boston	1	585
1366048881	6.371611847231857	marathon	1	585
1366048881	NaN	explosion	NaN	585
1366048882	6.052089168924417	boston	1	425
1366048882	6.052089168924417	marathon	1	425
1366048882	NaN	explosion	NaN	425
1366048883	NaN	boston	NaN	514
1366048883	NaN	marathon	NaN	514
1366048883	NaN	explosion	NaN	514
1366048884	NaN	boston	NaN	481
1366048884	NaN	marathon	NaN	481
1366048884	6.175867270105761	explosion	1	481
1366048885	NaN	boston	NaN	536
1366048885	NaN	marathon	NaN	536
1366048885	NaN	explosion	NaN	536
1366048886	6.284134161070802	boston	1	536
1366048886	6.284134161070802	marathon	1	536
1366048886	NaN	explosion	NaN	536
1366048887	NaN	boston	NaN	443
1366048887	NaN	marathon	NaN	443
1366048887	NaN	explosion	NaN	443
1366048888	6.135564891081739	boston	1	462
1366048888	NaN	marathon	NaN	462
1366048888	NaN	explosion	NaN	462
1366048889	NaN	boston	NaN	611
1366048889	6.415096959171596	marathon	1	611
1366048889	NaN	explosion	NaN	611
1366048890	NaN	boston	NaN	515
1366048890	NaN	marathon	NaN	515
1366048890	NaN	explosion	NaN	515
1366048891	NaN	boston	NaN	508
1366048891	NaN	marathon	NaN	508
1366048891	NaN	explosion	NaN	508
1366048892	NaN	boston	NaN	541
1366048892	NaN	marathon	NaN	541
1366048892	NaN	explosion	NaN	541
1366048893	NaN	boston	NaN	441
1366048893	NaN	marathon	NaN	441
1366048893	NaN	explosion	NaN	441
1366048894	NaN	boston	NaN	440
1366048894	NaN	marathon	NaN	440
1366048894	NaN	explosion	NaN	440
1366048895	NaN	boston	NaN	525
1366048895	NaN	marathon	NaN	525
1366048895	NaN	explosion	NaN	525
1366048896	6.202535517187923	boston	1	494
1366048896	NaN	marathon	NaN	494
1366048896	NaN	explosion	NaN	494
1366048897	NaN	boston	NaN	460
1366048897	NaN	marathon	NaN	460
1366048897	NaN	explosion	NaN	460
1366048898	NaN	boston	NaN	511
1366048898	NaN	marathon	NaN	511
1366048898	NaN	explosion	NaN	511
1366048899	NaN	boston	NaN	488
1366048899	NaN	marathon	NaN	488
1366048899	NaN	explosion	NaN	488
1366048900	NaN	boston	NaN	486
1366048900	NaN	marathon	NaN	486
1366048900	NaN	explosion	NaN	486
1366048901	NaN	boston	NaN	473
1366048901	NaN	marathon	NaN	473
1366048901	NaN	explosion	NaN	473
1366048902	NaN	boston	NaN	126
1366048902	NaN	marathon	NaN	126
1366048902	NaN	explosion	NaN	126
1366048903	NaN	boston	NaN	472
1366048903	NaN	marathon	NaN	472
1366048903	NaN	explosion	NaN	472
1366048904	6.5638555265321274	boston	1	709
1366048904	6.5638555265321274	marathon	1	709
1366048904	NaN	explosion	NaN	709
1366048905	NaN	boston	NaN	470
1366048905	NaN	marathon	NaN	470
1366048905	NaN	explosion	NaN	470
1366048906	NaN	boston	NaN	507
1366048906	NaN	marathon	NaN	507
1366048906	NaN	explosion	NaN	507
