timestamp	idf_value	term	count	amount_tweets
1429937842	NaN	quake	NaN	316
1429937842	NaN	earthquake	NaN	316
1429937842	NaN	temblor	NaN	316
1429937842	NaN	seism	NaN	316
1429937842	NaN	shaking	NaN	316
1429937842	NaN	shock	NaN	316
1429937843	NaN	nepal	NaN	275
1429937843	NaN	quake	NaN	275
1429937843	NaN	earthquake	NaN	275
1429937843	NaN	temblor	NaN	275
1429937843	NaN	seism	NaN	275
1429937843	NaN	shaking	NaN	275
1429937843	NaN	shock	NaN	275
1429937844	NaN	nepal	NaN	393
1429937844	NaN	quake	NaN	393
1429937844	NaN	earthquake	NaN	393
1429937844	NaN	temblor	NaN	393
1429937844	NaN	seism	NaN	393
1429937844	NaN	shaking	NaN	393
1429937844	NaN	shock	NaN	393
1429937845	NaN	nepal	NaN	190
1429937845	NaN	quake	NaN	190
1429937845	NaN	earthquake	NaN	190
1429937845	NaN	temblor	NaN	190
1429937845	NaN	seism	NaN	190
1429937845	NaN	shaking	NaN	190
1429937845	NaN	shock	NaN	190
1429937846	NaN	nepal	NaN	403
1429937846	NaN	quake	NaN	403
1429937846	NaN	earthquake	NaN	403
1429937846	NaN	temblor	NaN	403
1429937846	NaN	seism	NaN	403
1429937846	NaN	shaking	NaN	403
1429937846	NaN	shock	NaN	403
1429937847	NaN	nepal	NaN	289
1429937847	NaN	quake	NaN	289
1429937847	5.666426688112432	earthquake	1	289
1429937847	NaN	temblor	NaN	289
1429937847	NaN	seism	NaN	289
1429937847	NaN	shaking	NaN	289
1429937847	NaN	shock	NaN	289
1429937848	NaN	nepal	NaN	334
1429937848	NaN	quake	NaN	334
1429937848	NaN	earthquake	NaN	334
1429937848	NaN	temblor	NaN	334
1429937848	NaN	seism	NaN	334
1429937848	NaN	shaking	NaN	334
1429937848	NaN	shock	NaN	334
1429937849	NaN	nepal	NaN	273
1429937849	NaN	quake	NaN	273
1429937849	NaN	earthquake	NaN	273
1429937849	NaN	temblor	NaN	273
1429937849	NaN	seism	NaN	273
1429937849	NaN	shaking	NaN	273
1429937849	NaN	shock	NaN	273
1429937850	NaN	nepal	NaN	282
1429937850	NaN	quake	NaN	282
1429937850	NaN	earthquake	NaN	282
1429937850	NaN	temblor	NaN	282
1429937850	NaN	seism	NaN	282
1429937850	NaN	shaking	NaN	282
1429937850	NaN	shock	NaN	282
1429937851	NaN	nepal	NaN	317
1429937851	NaN	quake	NaN	317
1429937851	NaN	earthquake	NaN	317
1429937851	NaN	temblor	NaN	317
1429937851	NaN	seism	NaN	317
1429937851	NaN	shaking	NaN	317
1429937851	NaN	shock	NaN	317
1429937852	NaN	nepal	NaN	347
1429937852	NaN	quake	NaN	347
1429937852	NaN	earthquake	NaN	347
1429937852	NaN	temblor	NaN	347
1429937852	NaN	seism	NaN	347
1429937852	NaN	shaking	NaN	347
1429937852	NaN	shock	NaN	347
1429937853	NaN	nepal	NaN	326
1429937853	NaN	quake	NaN	326
1429937853	NaN	earthquake	NaN	326
1429937853	NaN	temblor	NaN	326
1429937853	NaN	seism	NaN	326
1429937853	NaN	shaking	NaN	326
1429937853	5.786897381366708	shock	1	326
1429937854	NaN	nepal	NaN	221
1429937854	NaN	quake	NaN	221
1429937854	NaN	earthquake	NaN	221
1429937854	NaN	temblor	NaN	221
1429937854	NaN	seism	NaN	221
1429937854	NaN	shaking	NaN	221
1429937854	NaN	shock	NaN	221
1429937855	NaN	nepal	NaN	356
1429937855	NaN	quake	NaN	356
1429937855	NaN	earthquake	NaN	356
1429937855	NaN	temblor	NaN	356
1429937855	NaN	seism	NaN	356
1429937855	NaN	shaking	NaN	356
1429937855	NaN	shock	NaN	356
1429937856	NaN	nepal	NaN	288
1429937856	NaN	quake	NaN	288
1429937856	NaN	earthquake	NaN	288
1429937856	NaN	temblor	NaN	288
1429937856	NaN	seism	NaN	288
1429937856	NaN	shaking	NaN	288
1429937856	NaN	shock	NaN	288
1429937857	NaN	nepal	NaN	354
1429937857	NaN	quake	NaN	354
1429937857	NaN	earthquake	NaN	354
1429937857	NaN	temblor	NaN	354
1429937857	NaN	seism	NaN	354
1429937857	NaN	shaking	NaN	354
1429937857	NaN	shock	NaN	354
1429937858	NaN	nepal	NaN	294
1429937858	NaN	quake	NaN	294
1429937858	NaN	earthquake	NaN	294
1429937858	NaN	temblor	NaN	294
1429937858	NaN	seism	NaN	294
1429937858	NaN	shaking	NaN	294
1429937858	NaN	shock	NaN	294
1429937859	NaN	nepal	NaN	252
1429937859	NaN	quake	NaN	252
1429937859	NaN	earthquake	NaN	252
1429937859	NaN	temblor	NaN	252
1429937859	NaN	seism	NaN	252
1429937859	NaN	shaking	NaN	252
1429937859	NaN	shock	NaN	252
1429937860	NaN	nepal	NaN	322
1429937860	NaN	quake	NaN	322
1429937860	NaN	earthquake	NaN	322
1429937860	NaN	temblor	NaN	322
1429937860	NaN	seism	NaN	322
1429937860	NaN	shaking	NaN	322
1429937860	NaN	shock	NaN	322
1429937861	NaN	nepal	NaN	218
1429937861	NaN	quake	NaN	218
1429937861	NaN	earthquake	NaN	218
1429937861	NaN	temblor	NaN	218
1429937861	NaN	seism	NaN	218
1429937861	NaN	shaking	NaN	218
1429937861	NaN	shock	NaN	218
1429937862	NaN	nepal	NaN	295
1429937862	NaN	quake	NaN	295
1429937862	NaN	earthquake	NaN	295
1429937862	NaN	temblor	NaN	295
1429937862	NaN	seism	NaN	295
1429937862	NaN	shaking	NaN	295
1429937862	NaN	shock	NaN	295
1429937863	NaN	nepal	NaN	270
1429937863	NaN	quake	NaN	270
1429937863	NaN	earthquake	NaN	270
1429937863	NaN	temblor	NaN	270
1429937863	NaN	seism	NaN	270
1429937863	NaN	shaking	NaN	270
1429937863	NaN	shock	NaN	270
1429937864	NaN	nepal	NaN	278
1429937864	NaN	quake	NaN	278
1429937864	NaN	earthquake	NaN	278
1429937864	NaN	temblor	NaN	278
1429937864	NaN	seism	NaN	278
1429937864	NaN	shaking	NaN	278
1429937864	NaN	shock	NaN	278
1429937865	5.638354669333745	nepal	1	281
1429937865	NaN	quake	NaN	281
1429937865	NaN	earthquake	NaN	281
1429937865	NaN	temblor	NaN	281
1429937865	NaN	seism	NaN	281
1429937865	NaN	shaking	NaN	281
1429937865	NaN	shock	NaN	281
1429937866	NaN	nepal	NaN	262
1429937866	NaN	quake	NaN	262
1429937866	NaN	earthquake	NaN	262
1429937866	NaN	temblor	NaN	262
1429937866	NaN	seism	NaN	262
1429937866	NaN	shaking	NaN	262
1429937866	NaN	shock	NaN	262
1429937867	NaN	nepal	NaN	262
1429937867	NaN	quake	NaN	262
1429937867	NaN	earthquake	NaN	262
1429937867	NaN	temblor	NaN	262
1429937867	NaN	seism	NaN	262
1429937867	NaN	shaking	NaN	262
1429937867	NaN	shock	NaN	262
1429937868	NaN	nepal	NaN	262
1429937868	NaN	quake	NaN	262
1429937868	NaN	earthquake	NaN	262
1429937868	NaN	temblor	NaN	262
1429937868	NaN	seism	NaN	262
1429937868	NaN	shaking	NaN	262
1429937868	NaN	shock	NaN	262
1429937869	NaN	nepal	NaN	287
1429937869	NaN	quake	NaN	287
1429937869	NaN	earthquake	NaN	287
1429937869	NaN	temblor	NaN	287
1429937869	NaN	seism	NaN	287
1429937869	NaN	shaking	NaN	287
1429937869	NaN	shock	NaN	287
1429937870	NaN	nepal	NaN	248
1429937870	NaN	quake	NaN	248
1429937870	NaN	earthquake	NaN	248
1429937870	NaN	temblor	NaN	248
1429937870	NaN	seism	NaN	248
1429937870	NaN	shaking	NaN	248
1429937870	NaN	shock	NaN	248
1429937871	NaN	nepal	NaN	279
1429937871	NaN	quake	NaN	279
1429937871	NaN	earthquake	NaN	279
1429937871	NaN	temblor	NaN	279
1429937871	NaN	seism	NaN	279
1429937871	NaN	shaking	NaN	279
1429937871	NaN	shock	NaN	279
1429937872	NaN	nepal	NaN	248
1429937872	NaN	quake	NaN	248
1429937872	NaN	earthquake	NaN	248
1429937872	NaN	temblor	NaN	248
1429937872	NaN	seism	NaN	248
1429937872	NaN	shaking	NaN	248
1429937872	NaN	shock	NaN	248
1429937873	NaN	nepal	NaN	271
1429937873	NaN	quake	NaN	271
1429937873	NaN	earthquake	NaN	271
1429937873	NaN	temblor	NaN	271
1429937873	NaN	seism	NaN	271
1429937873	NaN	shaking	NaN	271
1429937873	NaN	shock	NaN	271
1429937874	NaN	nepal	NaN	247
1429937874	NaN	quake	NaN	247
1429937874	NaN	earthquake	NaN	247
1429937874	NaN	temblor	NaN	247
1429937874	NaN	seism	NaN	247
1429937874	NaN	shaking	NaN	247
1429937874	NaN	shock	NaN	247
1429937875	NaN	nepal	NaN	215
1429937875	NaN	quake	NaN	215
1429937875	NaN	earthquake	NaN	215
1429937875	NaN	temblor	NaN	215
1429937875	NaN	seism	NaN	215
1429937875	NaN	shaking	NaN	215
1429937875	NaN	shock	NaN	215
1429937876	NaN	nepal	NaN	289
1429937876	NaN	quake	NaN	289
1429937876	NaN	earthquake	NaN	289
1429937876	NaN	temblor	NaN	289
1429937876	NaN	seism	NaN	289
1429937876	NaN	shaking	NaN	289
1429937876	NaN	shock	NaN	289
1429937877	NaN	nepal	NaN	214
1429937877	NaN	quake	NaN	214
1429937877	NaN	earthquake	NaN	214
1429937877	NaN	temblor	NaN	214
1429937877	NaN	seism	NaN	214
1429937877	NaN	shaking	NaN	214
1429937877	NaN	shock	NaN	214
1429937878	NaN	nepal	NaN	306
1429937878	NaN	quake	NaN	306
1429937878	NaN	earthquake	NaN	306
1429937878	NaN	temblor	NaN	306
1429937878	NaN	seism	NaN	306
1429937878	NaN	shaking	NaN	306
1429937878	NaN	shock	NaN	306
1429937879	NaN	nepal	NaN	284
1429937879	NaN	quake	NaN	284
1429937879	NaN	earthquake	NaN	284
1429937879	NaN	temblor	NaN	284
1429937879	NaN	seism	NaN	284
1429937879	NaN	shaking	NaN	284
1429937879	NaN	shock	NaN	284
1429937880	NaN	nepal	NaN	286
1429937880	NaN	quake	NaN	286
1429937880	NaN	earthquake	NaN	286
1429937880	NaN	temblor	NaN	286
1429937880	NaN	seism	NaN	286
1429937880	NaN	shaking	NaN	286
1429937880	NaN	shock	NaN	286
1429937881	NaN	nepal	NaN	280
1429937881	NaN	quake	NaN	280
1429937881	NaN	earthquake	NaN	280
1429937881	NaN	temblor	NaN	280
1429937881	NaN	seism	NaN	280
1429937881	NaN	shaking	NaN	280
1429937881	NaN	shock	NaN	280
1429937882	NaN	nepal	NaN	219
1429937882	NaN	quake	NaN	219
1429937882	NaN	earthquake	NaN	219
1429937882	NaN	temblor	NaN	219
1429937882	NaN	seism	NaN	219
1429937882	NaN	shaking	NaN	219
1429937882	NaN	shock	NaN	219
1429937883	NaN	nepal	NaN	353
1429937883	NaN	quake	NaN	353
1429937883	NaN	earthquake	NaN	353
1429937883	NaN	temblor	NaN	353
1429937883	NaN	seism	NaN	353
1429937883	NaN	shaking	NaN	353
1429937883	NaN	shock	NaN	353
1429937884	NaN	nepal	NaN	275
1429937884	NaN	quake	NaN	275
1429937884	NaN	earthquake	NaN	275
1429937884	NaN	temblor	NaN	275
1429937884	NaN	seism	NaN	275
1429937884	NaN	shaking	NaN	275
1429937884	NaN	shock	NaN	275
1429937885	NaN	nepal	NaN	409
1429937885	NaN	quake	NaN	409
1429937885	NaN	earthquake	NaN	409
1429937885	NaN	temblor	NaN	409
1429937885	NaN	seism	NaN	409
1429937885	NaN	shaking	NaN	409
1429937885	NaN	shock	NaN	409
1429937886	NaN	nepal	NaN	271
1429937886	NaN	quake	NaN	271
1429937886	NaN	earthquake	NaN	271
1429937886	NaN	temblor	NaN	271
1429937886	NaN	seism	NaN	271
1429937886	NaN	shaking	NaN	271
1429937886	NaN	shock	NaN	271
1429937887	NaN	nepal	NaN	348
1429937887	NaN	quake	NaN	348
1429937887	NaN	earthquake	NaN	348
1429937887	NaN	temblor	NaN	348
1429937887	NaN	seism	NaN	348
1429937887	NaN	shaking	NaN	348
1429937887	NaN	shock	NaN	348
1429937888	NaN	nepal	NaN	268
1429937888	NaN	quake	NaN	268
1429937888	NaN	earthquake	NaN	268
1429937888	NaN	temblor	NaN	268
1429937888	NaN	seism	NaN	268
1429937888	NaN	shaking	NaN	268
1429937888	NaN	shock	NaN	268
1429937889	NaN	nepal	NaN	247
1429937889	NaN	quake	NaN	247
1429937889	NaN	earthquake	NaN	247
1429937889	NaN	temblor	NaN	247
1429937889	NaN	seism	NaN	247
1429937889	NaN	shaking	NaN	247
1429937889	NaN	shock	NaN	247
1429937890	NaN	nepal	NaN	251
1429937890	NaN	quake	NaN	251
1429937890	NaN	earthquake	NaN	251
1429937890	NaN	temblor	NaN	251
1429937890	NaN	seism	NaN	251
1429937890	NaN	shaking	NaN	251
1429937890	NaN	shock	NaN	251
1429937891	5.87493073085203	nepal	1	356
1429937891	NaN	quake	NaN	356
1429937891	NaN	earthquake	NaN	356
1429937891	NaN	temblor	NaN	356
1429937891	NaN	seism	NaN	356
1429937891	NaN	shaking	NaN	356
1429937891	NaN	shock	NaN	356
1429937892	NaN	nepal	NaN	280
1429937892	NaN	quake	NaN	280
1429937892	NaN	earthquake	NaN	280
1429937892	NaN	temblor	NaN	280
1429937892	NaN	seism	NaN	280
1429937892	NaN	shaking	NaN	280
1429937892	NaN	shock	NaN	280
1429937893	NaN	nepal	NaN	268
1429937893	NaN	quake	NaN	268
1429937893	NaN	earthquake	NaN	268
1429937893	NaN	temblor	NaN	268
1429937893	NaN	seism	NaN	268
1429937893	NaN	shaking	NaN	268
1429937893	NaN	shock	NaN	268
1429937894	NaN	nepal	NaN	250
1429937894	NaN	quake	NaN	250
1429937894	NaN	earthquake	NaN	250
1429937894	NaN	temblor	NaN	250
1429937894	NaN	seism	NaN	250
1429937894	NaN	shaking	NaN	250
1429937894	NaN	shock	NaN	250
1429937895	NaN	nepal	NaN	337
1429937895	NaN	quake	NaN	337
1429937895	NaN	earthquake	NaN	337
1429937895	NaN	temblor	NaN	337
1429937895	NaN	seism	NaN	337
1429937895	NaN	shaking	NaN	337
1429937895	NaN	shock	NaN	337
1429937896	NaN	nepal	NaN	284
1429937896	NaN	quake	NaN	284
1429937896	NaN	earthquake	NaN	284
1429937896	NaN	temblor	NaN	284
1429937896	NaN	seism	NaN	284
1429937896	NaN	shaking	NaN	284
1429937896	NaN	shock	NaN	284
1429937897	NaN	nepal	NaN	307
1429937897	NaN	quake	NaN	307
1429937897	NaN	earthquake	NaN	307
1429937897	NaN	temblor	NaN	307
1429937897	NaN	seism	NaN	307
1429937897	NaN	shaking	NaN	307
1429937897	NaN	shock	NaN	307
1429937898	NaN	nepal	NaN	307
1429937898	NaN	quake	NaN	307
1429937898	NaN	earthquake	NaN	307
1429937898	NaN	temblor	NaN	307
1429937898	NaN	seism	NaN	307
1429937898	NaN	shaking	NaN	307
1429937898	NaN	shock	NaN	307
1429937899	NaN	nepal	NaN	241
1429937899	NaN	quake	NaN	241
1429937899	NaN	earthquake	NaN	241
1429937899	NaN	temblor	NaN	241
1429937899	NaN	seism	NaN	241
1429937899	NaN	shaking	NaN	241
1429937899	NaN	shock	NaN	241
1429937900	NaN	nepal	NaN	294
1429937900	NaN	quake	NaN	294
1429937900	NaN	earthquake	NaN	294
1429937900	NaN	temblor	NaN	294
1429937900	NaN	seism	NaN	294
1429937900	NaN	shaking	NaN	294
1429937900	NaN	shock	NaN	294
1429937901	NaN	nepal	NaN	258
1429937901	NaN	quake	NaN	258
1429937901	NaN	earthquake	NaN	258
1429937901	NaN	temblor	NaN	258
1429937901	NaN	seism	NaN	258
1429937901	NaN	shaking	NaN	258
1429937901	NaN	shock	NaN	258
1429937902	NaN	nepal	NaN	323
1429937902	NaN	quake	NaN	323
1429937902	NaN	earthquake	NaN	323
1429937902	NaN	temblor	NaN	323
1429937902	NaN	seism	NaN	323
1429937902	NaN	shaking	NaN	323
1429937902	NaN	shock	NaN	323
1429937903	NaN	nepal	NaN	263
1429937903	NaN	quake	NaN	263
1429937903	NaN	earthquake	NaN	263
1429937903	NaN	temblor	NaN	263
1429937903	NaN	seism	NaN	263
1429937903	NaN	shaking	NaN	263
1429937903	NaN	shock	NaN	263
1429937904	NaN	nepal	NaN	254
1429937904	NaN	quake	NaN	254
1429937904	NaN	earthquake	NaN	254
1429937904	NaN	temblor	NaN	254
1429937904	NaN	seism	NaN	254
1429937904	NaN	shaking	NaN	254
1429937904	NaN	shock	NaN	254
1429937905	NaN	nepal	NaN	326
1429937905	NaN	quake	NaN	326
1429937905	NaN	earthquake	NaN	326
1429937905	NaN	temblor	NaN	326
1429937905	NaN	seism	NaN	326
1429937905	NaN	shaking	NaN	326
1429937905	NaN	shock	NaN	326
1429937906	NaN	nepal	NaN	235
1429937906	NaN	quake	NaN	235
1429937906	NaN	earthquake	NaN	235
1429937906	NaN	temblor	NaN	235
1429937906	NaN	seism	NaN	235
1429937906	NaN	shaking	NaN	235
1429937906	NaN	shock	NaN	235
1429937907	NaN	nepal	NaN	300
1429937907	NaN	quake	NaN	300
1429937907	NaN	earthquake	NaN	300
1429937907	NaN	temblor	NaN	300
1429937907	NaN	seism	NaN	300
1429937907	5.703782474656201	shaking	1	300
1429937907	NaN	shock	NaN	300
1429937908	NaN	nepal	NaN	243
1429937908	NaN	quake	NaN	243
1429937908	NaN	earthquake	NaN	243
1429937908	NaN	temblor	NaN	243
1429937908	NaN	seism	NaN	243
1429937908	NaN	shaking	NaN	243
1429937908	NaN	shock	NaN	243
1429937909	NaN	nepal	NaN	281
1429937909	NaN	quake	NaN	281
1429937909	NaN	earthquake	NaN	281
1429937909	NaN	temblor	NaN	281
1429937909	NaN	seism	NaN	281
1429937909	NaN	shaking	NaN	281
1429937909	NaN	shock	NaN	281
1429937910	NaN	nepal	NaN	267
1429937910	NaN	quake	NaN	267
1429937910	NaN	earthquake	NaN	267
1429937910	NaN	temblor	NaN	267
1429937910	NaN	seism	NaN	267
1429937910	NaN	shaking	NaN	267
1429937910	NaN	shock	NaN	267
1429937911	NaN	nepal	NaN	285
1429937911	NaN	quake	NaN	285
1429937911	NaN	earthquake	NaN	285
1429937911	NaN	temblor	NaN	285
1429937911	NaN	seism	NaN	285
1429937911	NaN	shaking	NaN	285
1429937911	NaN	shock	NaN	285
1429937912	NaN	nepal	NaN	296
1429937912	NaN	quake	NaN	296
1429937912	NaN	earthquake	NaN	296
1429937912	NaN	temblor	NaN	296
1429937912	NaN	seism	NaN	296
1429937912	NaN	shaking	NaN	296
1429937912	NaN	shock	NaN	296
1429937913	NaN	nepal	NaN	287
1429937913	NaN	quake	NaN	287
1429937913	NaN	earthquake	NaN	287
1429937913	NaN	temblor	NaN	287
1429937913	NaN	seism	NaN	287
1429937913	NaN	shaking	NaN	287
1429937913	NaN	shock	NaN	287
